epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2343.98,2.06409,2.75328,2.12827,0.1184,0.16289,0.09703,0.0337,2.30777,2.69057,2.53247,0.000555222,0.000555222,0.000555222
2,4936.41,2.01253,2.30126,2.06104,0.65601,0.188,0.11572,0.04385,2.18518,2.47323,2.2048,0.00100091,0.00100091,0.00100091
3,7960.28,1.96179,2.22915,2.00152,0.15609,0.22,0.14538,0.05463,2.13933,2.18817,2.22233,0.00133658,0.00133658,0.00133658
4,10725.4,1.92055,2.09609,1.96558,0.17656,0.202,0.17109,0.06777,2.16349,2.10039,2.17051,0.0011719,0.0011719,0.0011719
5,13222.2,1.87264,2.0207,1.91921,0.69893,0.24,0.20316,0.07937,2.05155,1.96191,2.11228,0.00100687,0.00100687,0.00100687
6,15732,1.83884,1.95139,1.88999,0.21509,0.243,0.21303,0.08456,2.0035,1.89157,2.09916,0.000841835,0.000841835,0.000841835
7,18225,1.81574,1.89741,1.87256,0.21916,0.273,0.22152,0.08937,2.03541,1.79228,2.10231,0.000676802,0.000676802,0.000676802
8,20736.2,1.79117,1.82813,1.85215,0.21255,0.26399,0.2268,0.08719,2.05581,1.83067,2.11071,0.000511769,0.000511769,0.000511769
9,23232.6,1.76608,1.78106,1.82642,0.22239,0.251,0.24471,0.1006,1.95741,1.71876,2.00934,0.000346736,0.000346736,0.000346736
10,25738.5,1.72583,1.71343,1.80081,0.23002,0.286,0.25586,0.10593,1.98212,1.68862,2.06122,0.000181703,0.000181703,0.000181703
