epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.172,2.00119,2.45056,2.05158,0.3506,0.39411,0.28802,0.10081,2.2909,2.34509,2.31813,0.0006656,0.0006656,0.0006656
2,692.014,1.99973,1.96459,1.97103,0.43594,0.432,0.38448,0.13415,2.21028,2.23255,2.15182,0.00120037,0.00120037,0.00120037
3,1042.28,1.96537,1.85588,1.93335,0.49727,0.514,0.49643,0.19022,2.11942,1.93691,2.10311,0.00160314,0.00160314,0.00160314
4,1395.08,1.92717,1.76355,1.90142,0.47327,0.538,0.53478,0.20272,2.14045,1.76042,2.07353,0.001406,0.001406,0.001406
5,1749.24,1.8894,1.69482,1.86054,0.5731,0.492,0.57401,0.23405,2.02186,1.60089,1.99513,0.001208,0.001208,0.001208
6,2104.16,1.85977,1.6207,1.83154,0.57708,0.594,0.62587,0.24681,2.04653,1.58519,1.98747,0.00101,0.00101,0.00101
7,2459.06,1.8279,1.56597,1.80012,0.60765,0.64738,0.68022,0.27961,1.99804,1.43904,1.9462,0.000812,0.000812,0.000812
8,2816.76,1.80787,1.51081,1.78241,0.62114,0.68,0.70762,0.28986,1.957,1.41073,1.95136,0.000614,0.000614,0.000614
9,3174.85,1.76544,1.47862,1.75593,0.67229,0.65647,0.70979,0.29498,1.95026,1.39466,1.9394,0.000416,0.000416,0.000416
10,3531.88,1.74575,1.43513,1.74421,0.65186,0.708,0.72087,0.29922,1.94404,1.34776,1.92322,0.000218,0.000218,0.000218
