epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,681.827,2.03284,3.05183,2.05598,0.10743,0.176,0.084,0.02885,2.19788,2.58496,2.34289,0.000555222,0.000555222,0.000555222
2,1373.35,2.01262,2.31629,1.98146,0.16953,0.202,0.14235,0.05328,2.18844,2.25627,2.1258,0.00100091,0.00100091,0.00100091
3,2074.15,1.98919,2.22636,1.93432,0.16639,0.199,0.15614,0.06216,2.12691,2.14519,2.08132,0.00133658,0.00133658,0.00133658
4,2775.04,1.9412,2.12204,1.89474,0.1493,0.20819,0.14245,0.05404,2.12957,2.30065,2.11576,0.0011719,0.0011719,0.0011719
5,3475.91,1.89309,2.04699,1.85564,0.19532,0.24,0.18409,0.07283,2.09936,1.97568,2.02958,0.00100687,0.00100687,0.00100687
6,4193.5,1.85921,1.97626,1.82012,0.19124,0.247,0.19395,0.0758,2.07799,1.98691,2.06285,0.000841835,0.000841835,0.000841835
7,4888.86,1.83953,1.92515,1.81482,0.19357,0.252,0.21436,0.08671,2.03718,1.83574,2.03648,0.000676802,0.000676802,0.000676802
8,5587.01,1.80555,1.87965,1.79379,0.20451,0.262,0.22232,0.09044,2.04424,1.82844,1.99005,0.000511769,0.000511769,0.000511769
9,6264.47,1.78851,1.82509,1.76824,0.20518,0.251,0.23195,0.09588,1.98949,1.78624,1.97163,0.000346736,0.000346736,0.000346736
10,6936.07,1.75152,1.76703,1.74463,0.21722,0.266,0.24209,0.10114,1.98534,1.70292,1.97364,0.000181703,0.000181703,0.000181703
